char1,char2,freq
z,h,18782710
g,w,18260884
r,z,17993128
c,b,17751935
i,w,17611969
x,l,16728256
h,p,16696129
m,w,16465357
v,s,16263248
f,c,16254390
r,j,15598009
b,p,15427250
m,h,15033898
h,h,14730425
y,h,14682887
u,j,14548024
f,g,14424524
f,d,13966832
g,b,13944852
p,g,13354952
t,k,13081991
k,k,12782664
h,q,11925353
f,n,11823066
l,z,11767790
v,l,11621019
g,p,11612944
h,z,10729982
d,k,9494027
y,k,9292584
q,i,8954617
l,x,8612462
v,d,8430332
z,s,8395904
b,w,8319869
x,q,8225536
m,v,8172535
u,w,7824504
h,g,7789748
f,b,7730842
s,j,7621847
w,w,7377619
g,k,7338894
u,q,7235727
b,g,7203255
s,z,7041052
j,r,6846578
q,l,6708919
z,t,6627349
h,k,6595610
v,c,6570845
x,m,6569222
g,c,6455066
f,w,6451511
p,z,6382200
k,c,6326022
h,v,6292998
x,w,6292525
z,w,6279286
f,p,6262895
i,y,6247588
p,v,6222096
v,t,6181932
j,p,6129447
c,v,5869407
z,b,5858211
v,p,5510046
z,r,5320518
f,h,5166165
y,v,5115763
z,g,4726653
z,m,4713608
z,v,4618705
q,s,4448602
k,v,4414960
v,n,4317772
z,n,4300522
q,a,4298294
y,x,4211192
j,n,4150888
b,f,4108696
m,k,3956883
c,w,3909223
j,m,3659540
l,q,3582930
j,h,3541869
k,j,3471162
j,c,3447571
g,z,3431194
j,s,3329038
t,x,3328898
f,k,3293208
j,l,3192327
v,m,3178223
l,j,3169833
t,j,3169658
j,j,2979950
c,j,2962048
v,g,2960268
m,j,2923325
j,t,2917850
p,j,2810773
w,g,2751783
v,h,2691078
b,k,2639491
v,v,2622571
j,d,2615147
t,q,2517400
v,b,2496014
j,f,2421784
d,z,2200704
x,b,2164724
j,b,2126115
z,c,2100797
f,j,2065436
y,y,1993017
q,n,1859810
x,s,1804740
q,r,1744325
j,k,1740133
j,v,1719726
q,q,1712219
x,n,1613611
v,f,1550317
p,x,1473468
z,d,1415016
q,t,1385505
z,p,1361846
q,o,1324363
d,x,1296277
h,j,1282370
g,v,1192366
j,w,1165914
q,c,1127399
j,y,1120221
g,j,1093028
q,b,1083443
p,q,1075049
j,g,1034900
b,z,1007374
m,x,994334
q,m,989868
m,z,970282
q,f,947879
w,j,914179
z,q,913036
x,r,907409
z,k,906537
c,x,876736
f,x,812116
f,v,807297
b,x,778622
v,w,742188
v,j,724370
m,q,708424
q,v,635514
z,f,608389
q,e,572443
y,j,561334
g,x,557030
k,x,555422
x,g,542548
q,d,519921
x,j,511074
s,x,503772
v,z,501189
v,x,449854
w,v,389123
y,q,384882
b,q,346506
g,q,345624
v,k,337545
z,j,309029
x,k,281255
q,p,272180
h,x,263997
f,z,263860
q,h,263509
q,j,236928
j,z,220675
v,q,212856
k,q,187242
x,d,168263
q,w,163292
j,x,161750
q,x,159505
k,z,150760
w,x,150637
f,q,149430
x,z,136521
z,x,108224
 ,t,118849337945
e, ,149765385042
 ,o,56762601060
f, ,35066812460
 ,a,86893227065
d, ,74243669196
o, ,31070107496
 ,i,54256321754
n, ,69252107252
a, ,20969421416
s, ,95977537953
t, ,66727951442
 ,f,29952197540
r, ,43881791800
 ,w,40889321958
h, ,20172047346
 ,b,32978416403
y, ,44647307750
 ,n,16990703679
 ,h,31238837884
i, ,5594196764
m, ,12314946811
 ,y,5677068230
u, ,2889853561
l, ,25770778363
 ,c,38962746440
 ,m,28460312383
 ,s,49734339142
 ,d,23610994165
w, ,6107388376
 ,u,8801470813
p, ,4027901415
 ,v,6129410533
 ,l,17967162608
 ,e,20821104413
 ,p,32124438693
k, ,5966068064
g, ,21863087190
 ,g,12211759680
 ,j,3801073430
 ,r,21020892617
 ,k,3390029632
c, ,4487406055
b, ,914823056
 ,q,1647734497
x, ,1228057066
 ,x,335403585
v, ,407828700
j, ,161332557
 ,z,336016172
q, ,93340457
z, ,241774733
.,\n,46519365960
\n,t,5168818440
