char1,char2,char3,freq
o,f,f,1138112310
i,f,f,1137844863
t,e,l,1137132381
e,t,i,1133782356
i,r,s,1132908546
c,u,r,1129852214
a,i,d,1127820011
b,e,t,1126658971
r,a,i,1122870370
c,a,s,1118830228
t,i,l,1115377334
l,s,o,1113441267
c,h,o,1111222473
e,a,n,1111113412
o,c,i,1107578343
t,a,b,1104333417
q,u,a,1103867434
f,f,i,1102521640
u,s,i,1101229824
m,p,o,1098955147
d,i,a,1097668021
i,k,e,1097326708
p,a,t,1094793206
t,o,n,1094573483
d,i,f,1094447781
u,e,s,1093884478
m,i,t,1091175791
s,o,c,1090079564
s,h,a,1088317972
k,n,o,1087994813
r,o,v,1087399037
n,c,i,1087234797
m,u,s,1085334955
u,r,a,1083612677
a,f,t,1081392153
l,o,g,1080913704
h,r,o,1080845222
i,n,f,1078671633
c,a,u,1078089074
l,e,t,1077677454
a,l,t,1077612543
r,r,e,1076901529
a,n,a,1076655840
e,l,f,1072288962
e,n,g,1072068149
e,t,t,1071390354
o,r,a,1068437016
m,i,s,1067766067
r,e,g,1067531461
l,i,g,1066978562
e,p,t,1066672616
a,i,l,1066295388
u,r,n,1065987062
u,t,e,1065304600
r,o,d,1065013738
i,m,a,1062594282
m,e,a,1061920786
t,a,r,1057905784
a,l,e,1055994193
o,l,e,1055326048
o,s,i,1053469905
e,i,n,1052378146
u,t,h,1044564536
w,e,l,1041901536
c,l,a,1041148273
w,e,e,1038999155
t,i,a,1034746450
e,m,b,1034111034
d,a,y,1030064586
a,s,i,1027882324
r,d,e,1027838103
s,t,u,1027123631
u,r,s,1027037553
f,o,u,1022261274
i,z,e,1022022237
o,m,i,1020006801
e,f,o,1016116936
l,i,k,1013577522
r,e,v,1011248116
a,y,s,1005365430
e,l,o,1001816277
r,a,d,998833818
d,e,a,998176981
t,a,k,997809257
s,u,p,997681045
s,u,b,997657281
s,o,u,996701032
e,c,a,996015864
e,m,a,990902887
o,d,u,990596720
y,e,a,989592751
i,l,d,989324892
s,p,o,987586071
l,e,n,986126642
m,p,a,985870333
d,i,c,984016286
p,l,i,983904792
f,e,c,981757516
r,r,i,981231076
e,v,i,979630535
i,c,t,975024267
t,u,d,974798180
l,o,s,973051701
c,t,u,972918524
l,e,m,970055754
h,a,l,968450734
t,w,e,965876224
i,s,c,963324995
r,o,c,960910746
c,t,o,959250391
a,r,c,958282541
s,i,g,955015092
a,m,i,954200048
k,e,d,947646862
j,e,c,947396391
h,a,p,945457718
p,t,i,944224042
b,r,i,943772016
u,b,l,943284050
s,o,l,942835095
r,l,y,941843958
c,i,t,940565695
a,d,i,939330729
f,r,e,938202358
c,t,s,937872402
a,i,r,936013199
r,o,w,935664882
n,g,l,934145713
u,d,e,933960576
s,t,s,930697760
d,r,e,929834043
n,i,c,927766522
d,e,c,924397433
p,a,n,923295741
b,i,l,923236035
l,i,f,918198174
n,n,e,916381089
l,o,o,916213089
a,m,p,914332916
s,a,i,910906215
u,n,c,910147780
x,p,e,905786325
i,m,i,904297435
g,a,i,902646892
a,r,k,901575371
t,i,s,899894700
h,e,l,895622705
v,i,s,892994837
m,a,k,892108777
a,g,a,888873878
i,b,l,886743270
i,f,e,885964032
s,e,a,885690434
r,o,b,884324710
t,o,o,884272228
g,e,t,877653491
e,f,f,877045505
r,t,e,876755827
p,p,o,875660099
d,e,p,873351630
a,v,i,873089933
r,n,e,872086009
r,i,b,871320598
v,o,l,867955750
m,a,d,867719645
g,i,v,866012422
d,i,e,864452826
r,d,s,863161947
s,c,h,862139668
r,o,l,861595115
o,v,i,860059985
r,i,v,859738982
d,e,v,859029789
t,r,y,853595303
o,d,e,849860660
g,a,n,846300024
b,e,l,844037777
n,d,a,843988417
l,i,a,842583607
r,v,e,842146751
m,i,c,839395147
e,t,w,837710782
t,u,a,834335454
e,r,c,832091674
d,e,l,830191335
c,l,u,828925492
u,m,e,827410486
e,g,i,827295919
s,a,m,824905236
m,a,i,824223079
a,n,n,819945835
i,c,u,819285824
r,o,s,817839847
e,m,s,815228219
a,r,m,807538868
e,m,o,807304396
s,i,b,806000970
y,s,t,804081058
e,g,a,801442700
s,c,r,800164023
o,l,u,797461296
r,a,m,793005418
u,p,p,789634711
l,v,e,788914661
b,r,o,788061140
u,e,n,785681398
c,a,m,784839780
r,n,a,784467338
u,r,t,781997713
p,i,n,778611405
t,t,l,778068662
e,x,a,775248241
r,u,c,775159005
h,i,g,772126498
e,t,a,770934179
d,i,d,769945900
f,o,l,766935020
v,i,c,766889920
m,m,e,766703773
d,a,t,765559341
e,d,u,765302903
o,c,e,761797902
c,e,p,761228051
r,o,t,760744381
v,i,e,760388199
p,a,s,759949263
o,r,g,758376569
n,t,l,758192199
s,e,t,756096508
o,t,i,755506245
s,p,i,755473878
r,s,o,751293539
i,l,y,747899561
d,i,v,747835577
a,t,o,746412486
i,n,v,746392672
b,a,s,744905690
p,u,b,744800259
a,u,t,744436126
o,n,i,744269828
e,x,c,743862324
s,s,u,743466423
m,o,d,742956938
r,m,i,742075032
l,u,e,740431197
o,p,l,740318480
l,o,r,738743414
e,i,g,737456312
p,o,i,737261233
j,u,s,732777049
e,o,p,732303726
d,g,e,730974664
e,e,t,730407373
e,r,r,728862875
m,o,t,727423746
c,c,o,724991418
o,m,a,724716113
n,v,e,723429596
o,n,o,722854443
f,i,e,722377849
y,i,n,720955118
h,i,p,720468234
r,a,p,720148164
h,o,o,718978479
i,s,m,718830425
u,r,c,717790756
d,o,w,714928592
u,l,l,713796916
b,r,a,712548578
l,a,y,711263905
u,m,b,710795416
n,c,l,710615019
i,c,k,710076724
n,m,e,709157407
c,a,p,707793573
h,o,m,706992949
g,e,d,706338332
l,o,p,705540816
i,e,t,704821951
l,e,r,704516213
o,g,r,701989031
e,f,e,701740204
d,e,f,700730657
s,s,a,699833907
v,a,r,699147321
n,u,m,699083645
c,c,e,697987963
n,e,e,697844819
h,r,e,697054423
t,e,a,696506548
l,e,g,695915444
p,e,o,693824015
l,o,c,692247660
b,o,t,691834172
p,e,d,691518359
e,n,i,691434241
l,a,i,689237296
p,u,t,688971420
a,m,o,687459283
i,n,k,687441468
r,d,i,686808187
e,l,d,685554767
s,i,c,683210209
r,v,i,681816885
r,e,q,681783375
b,e,i,680012701
b,a,c,679230118
l,i,v,678367898
r,n,i,677063946
m,e,m,673653028
m,o,u,670836063
e,p,a,670119745
r,m,e,669902432
s,u,l,669899495
b,o,r,669471253
d,u,r,668020262
d,o,n,667737972
o,o,l,667687021
s,c,o,667321779
s,i,m,666406638
p,p,l,665998796
c,r,o,663886756
r,t,s,663354083
a,d,d,662215010
e,m,i,661230058
m,p,e,660864046
f,r,a,660599583
f,i,g,659750979
r,k,e,658364464
e,s,c,652487526
a,b,i,651696717
a,n,o,651516330
u,i,t,651246069
t,e,c,650401196
r,i,m,649238552
a,p,e,648908838
c,u,s,647914715
s,u,m,647139248
b,a,n,645057962
b,j,e,643845268
a,n,e,643621617
g,o,o,643615423
e,s,u,642724688
o,c,k,641629889
t,e,e,639946732
e,r,f,638460356
s,a,l,637224917
d,e,m,635605292
v,a,t,634893030
u,d,i,631757847
m,u,c,630921987
s,y,s,630540554
l,l,a,629848556
n,o,m,629162643
t,c,h,626978818
u,c,e,624817434
s,o,r,624654035
n,d,o,624543672
t,i,f,624529812
u,a,t,624513390
n,c,h,623673170
n,d,u,622888895
r,s,i,622584001
g,a,t,621554232
v,a,n,621167643
p,p,r,621085890
m,o,v,620328573
e,c,h,620210511
c,i,p,619853364
r,o,o,619057859
e,l,s,617606060
n,e,c,617226944
b,e,f,616963056
c,l,o,615967520
o,r,n,615521992
p,t,e,613211980
a,l,u,610483010
e,e,m,609798272
o,n,f,609631269
s,c,i,608066956
i,g,i,605989266
r,o,a,604424112
m,a,g,604139378
l,a,b,603964635
d,e,t,603630199
k,e,n,603473338
i,l,a,603022094
o,r,r,602962720
r,a,g,602538039
r,u,s,602066850
o,e,s,599265114
s,a,y,598649761
a,c,i,598554452
p,u,r,598430875
g,a,r,597550589
n,a,r,597245429
c,i,s,596977720
n,a,m,596545589
a,n,k,596166885
v,i,t,595890204
w,a,t,595790707
p,r,a,595023652
n,c,o,593764716
p,o,w,591086279
f,e,e,588699118
f,a,i,588469472
e,c,u,588451528
r,o,g,587745058
f,a,r,586613347
t,m,e,586275070
l,u,t,586025159
i,e,r,585839697
o,r,l,584753943
r,t,y,584138340
o,w,i,583860434
d,i,r,583508348
n,c,t,582944044
l,e,v,582781272
p,l,o,581862296
p,a,i,581119919
m,u,n,580819907
g,o,v,580507025
i,c,s,580339768
n,f,o,580272256
s,a,n,580205872
s,s,o,579974921
o,c,a,579819067
e,e,p,577040502
t,o,m,575712925
l,a,w,575326744
u,r,r,574723133
l,t,h,574593264
n,t,h,573541626
o,u,p,573093303
i,b,e,572896069
p,i,t,570651202
e,p,e,569820096
m,a,s,569759866
i,n,u,569208816
v,i,o,568482139
n,a,n,567578107
l,l,s,566723763
n,e,t,566679328
o,b,l,565918607
w,r,i,565540726
l,u,d,565178114
a,f,f,564298855
a,p,t,563987194
p,h,i,563709005
c,c,u,563582357
f,r,i,561429883
e,p,r,561040509
r,m,s,560553082
i,e,w,560419110
i,v,a,557471687
s,m,a,557244946
d,a,r,556601945
a,l,o,555327758
o,c,c,555149612
x,a,m,554911076
l,i,m,553827334
u,p,o,552304038
e,d,e,551766457
s,p,a,550950969
d,o,m,548383587
e,f,i,547869163
r,g,a,547729328
c,e,l,547638409
g,n,i,547389754
t,u,t,545107488
i,z,a,545006745
s,l,a,543758567
d,r,a,543168190
u,i,r,543000381
h,u,s,542710252
s,a,t,542405401
o,k,e,542317490
e,n,a,541348028
m,i,g,541211462
f,u,n,541045710
r,l,d,540850186
o,r,c,540145077
s,e,v,538552249
n,e,v,537835914
l,u,s,537752963
a,r,n,537524042
m,s,e,537125265
u,a,r,536972943
e,r,o,536631879
d,a,n,535210110
p,u,l,534138884
e,a,k,533819143
t,t,i,532569021
z,e,d,530706145
a,d,v,529078659
o,p,p,526407315
o,w,s,525286869
p,a,c,524393599
e,n,o,524117321
e,r,g,522437376
t,o,w,521953113
u,n,g,520813279
m,p,t,520443899
p,h,y,520051077
w,e,v,519328079
b,i,t,517175588
e,x,i,517094815
p,i,c,516508524
s,i,v,516160771
m,m,u,514873401
n,c,r,514400761
y,s,i,514268650
l,i,z,514080290
b,o,o,513934276
a,k,i,513305537
n,e,a,511457158
k,e,r,511161815
o,g,i,510956915
c,i,n,509740177
i,o,r,509362468
r,a,b,508075152
v,i,l,506929428
r,r,o,506856356
w,e,d,504699195
t,a,g,503861127
f,i,l,503528116
a,s,k,502693225
f,a,m,501543055
b,e,a,500493043
b,a,r,499111508
b,l,y,498449066
c,k,e,498365777
s,c,a,497477760
u,s,s,497268840
h,u,m,496658944
i,s,o,495128118
g,i,c,492944870
w,o,m,492837641
b,r,e,490909165
a,s,o,489645834
e,a,v,488907405
n,s,u,488861098
t,h,u,487092722
m,m,i,484589753
i,e,v,484105010
i,b,i,483600637
p,i,r,482853640
o,n,v,480585073
a,t,a,478629045
n,i,z,478334833
m,m,o,476104007
e,e,l,476027430
z,a,t,475267359
e,p,o,475136635
b,e,s,475045947
a,w,a,474757459
g,l,e,473925675
g,i,o,473864322
b,u,r,473830694
w,a,n,473477954
c,l,i,473432350
m,u,l,473243044
w,i,s,472182912
n,c,y,471086019
o,f,t,470251665
b,e,g,468216030
n,o,u,468011375
c,h,r,467705604
n,g,u,467187939
r,a,r,465955437
o,o,r,464661153
w,a,l,464440380
u,l,e,464378089
f,l,o,463813489
a,s,h,463302491
b,s,e,463082419
b,o,d,462224029
h,i,t,461820812
d,u,a,461735226
r,i,d,460843781
l,t,i,458767006
i,g,u,458187009
t,a,c,456894504
n,i,o,456796159
r,n,m,455872047
t,y,p,454150344
a,g,r,453981980
e,t,s,453820281
c,r,a,451802207
c,o,v,451376925
i,n,n,451163417
i,e,l,451086003
u,i,l,450594824
o,t,a,447404740
b,u,s,447297185
c,i,d,446927214
m,p,r,445517720
u,m,a,443921884
i,m,s,443262284
a,p,h,440006034
n,o,n,439384745
b,e,d,438660881
n,i,a,438644406
d,o,e,438196437
n,n,i,437479681
e,t,y,437267283
n,t,u,436632266
h,e,t,435934061
a,s,u,435788438
k,e,t,435577304
i,b,u,434327234
r,p,o,433622989
a,l,a,433607274
g,o,d,433391376
x,t,e,432168167
i,r,i,432117797
h,u,r,431219434
e,o,r,430130562
o,b,s,428337956
r,t,u,428054327
a,p,a,426969299
n,g,t,425628035
o,a,d,424668969
c,e,i,424619538
c,u,t,423838632
r,i,p,423718650
p,e,t,423503007
n,i,v,421696750
e,v,a,421021857
a,r,o,420711049
a,u,g,420380181
g,u,r,420321962
p,h,e,420253872
h,r,i,419918784
r,a,s,417731974
e,g,r,417610890
o,l,v,417324769
l,u,m,417288443
p,m,e,416666694
g,u,e,416659675
p,l,y,416438050
g,l,a,416133689
b,l,a,415584529
n,i,f,414875698
e,r,l,412339257
s,i,a,412113210
b,i,n,411758942
e,i,t,411321847
s,u,a,410151862
w,e,n,409684713
l,o,y,409021763
o,g,e,408902317
h,i,e,406947564
o,d,y,405905497
s,a,r,405723043
e,e,k,405308236
h,i,r,404009130
l,d,e,403514580
s,c,u,402905888
b,a,l,402550449
o,g,y,402358741
d,e,e,402068410
d,l,e,401335194
r,e,i,401247424
u,b,s,400594752
f,a,t,399638989
g,u,i,398119819
h,o,p,397704024
r,o,f,396697770
b,e,n,395981485
n,g,i,395552905
e,f,u,395242650
i,p,l,394886604
a,d,y,394365192
w,e,s,394288907
o,p,i,394069109
t,o,p,393846793
n,f,l,393257454
i,e,f,392600321
o,p,o,390416579
o,t,t,389632128
f,u,r,388818324
y,p,e,388643374
x,c,e,388278983
g,u,a,387449005
r,r,a,387052729
p,h,o,385803861
a,d,m,385781613
p,h,a,385148149
u,f,f,385031519
v,e,m,385026394
r,i,l,384646945
e,d,g,384410968
a,p,i,384145301
l,o,v,383932129
a,l,y,383746110
d,l,y,383625855
e,u,r,383427200
l,o,u,382812406
e,a,m,382566587
i,t,o,382559322
i,s,a,382538915
e,i,v,382092120
w,e,a,380802933
x,p,l,379955084
k,e,s,379487762
l,i,b,379482356
e,t,r,379071696
a,l,m,378668968
o,l,a,377713012
s,c,e,377452861
m,m,a,377163788
c,h,u,377097562
i,m,m,375851458
d,m,i,375343715
f,l,u,374860556
i,s,p,374686361
v,i,r,373967191
a,l,k,373963607
g,g,e,373954137
i,f,t,373553683
e,g,e,373252036
b,l,o,373025429
a,i,t,371356923
n,e,y,371136413
l,d,i,371006584
s,u,e,370988417
o,w,l,369656751
u,r,p,368459192
p,o,t,368353412
e,l,p,367148003
b,e,h,366991037
u,r,y,366847738
l,t,u,365484469
f,l,e,365357220
n,a,g,364748771
s,w,e,364367455
r,v,a,364236067
a,v,a,364235861
h,o,n,363836127
h,o,d,362902452
d,r,i,362862703
c,o,s,360314122
h,e,o,359780053
o,o,m,359663502
i,r,c,359509837
e,x,e,358959335
u,g,g,358718875
c,t,r,358161894
n,v,i,357631325
x,i,s,357525633
p,o,p,357210924
o,p,h,356600789
o,d,i,356560386
i,d,u,355935495
a,y,e,355928894
e,l,v,355181363
s,u,s,354962390
s,i,l,354944731
o,d,s,354672257
o,o,n,354160801
f,e,a,353244737
e,s,o,353010991
e,v,o,352827723
u,n,e,352245030
l,d,r,351896647
l,t,e,351862627
f,i,t,351814306
a,v,o,351031951
e,e,s,350774036
o,n,n,350426547
u,c,c,349418297
h,a,m,347449879
t,o,l,347077752
d,d,e,346168146
a,m,a,346009526
b,a,t,345956036
f,e,s,345906667
l,w,a,343420004
f,e,w,343232008
f,e,l,342865508
t,t,a,342495488
i,r,t,342040021
u,c,a,341324386
o,o,t,341233922
s,e,p,340602145
o,p,m,339936701
i,u,m,339091579
o,w,a,338671620
n,i,e,338648482
r,u,l,338264290
e,c,r,337163800
u,i,s,336930138
n,e,n,336661843
b,u,i,336162523
o,b,a,335542032
e,r,p,334470442
i,o,d,334450763
e,f,t,334152299
m,a,c,333454662
l,o,t,333361127
p,a,l,333187795
i,o,l,332620874
e,e,r,332310293
s,l,y,331906808
a,b,s,331401871
r,a,v,330927340
y,e,d,330433170
c,i,r,329296529
o,u,b,329157076
g,u,l,328851547
u,b,j,328560179
y,o,r,328388222
i,g,a,328327871
e,t,u,328058396
y,e,r,327979621
c,i,l,327875611
d,u,s,327612780
l,e,f,327333136
e,y,e,325614608
d,d,i,325302622
s,i,r,324882332
u,s,l,324294218
h,u,n,324209642
n,u,e,324125778
h,t,e,324027724
c,i,f,323469753
a,g,i,322624541
h,y,s,322520808
f,o,o,322355794
r,l,i,322035202
d,o,u,321531621
b,s,t,321136615
p,i,e,320762617
r,a,w,320162540
o,b,j,319748007
i,s,l,319466237
a,p,s,319348661
c,k,s,319297278
c,u,m,318105906
c,h,n,317663907
m,i,d,317077286
i,d,i,316779025
t,e,x,316401885
t,o,g,316055072
f,a,l,315863452
o,s,p,315734901
b,a,b,315104155
y,t,h,315021900
j,o,h,314841337
e,w,s,314572664
g,l,i,314478723
g,e,o,314457027
n,t,y,313628993
a,c,r,313132573
t,e,g,313052109
i,q,u,312966334
g,n,e,312900889
n,i,g,312748146
r,u,n,312727884
r,r,y,312299759
u,r,o,310259788
y,e,s,310246674
o,r,p,310011696
d,r,o,309707081
r,a,y,309314165
o,h,n,308414190
h,o,t,307566169
y,e,t,306627877
g,a,l,306121286
a,d,o,305719580
