From_Key,To_Key,Cost_MS,Confidence_Samples
KeyE,KeyR,49.50,50
KeyE,KeyT,63.00,50
KeyE,KeyY,63.00,50
KeyE,KeyU,49.50,50
KeyE,KeyI,60.00,50
KeyE,KeyO,80.00,50
KeyE,KeyP,90.00,50
KeyE,KeyA,85.00,50
KeyE,KeyS,70.00,50
KeyE,KeyD,52.50,50
KeyE,KeyF,50.00,50
KeyE,KeyG,62.50,50
KeyE,KeyH,62.50,50
KeyE,KeyJ,50.00,50
KeyE,KeyK,52.50,50
KeyE,KeyL,70.00,50
KeyE,Semicolon,85.00,50
KeyE,KeyZ,100.00,50
KeyE,KeyX,90.00,50
KeyE,KeyC,75.00,50
KeyE,KeyV,70.00,50
KeyE,KeyB,77.50,50
KeyE,KeyN,77.50,50
KeyE,KeyM,70.00,50
KeyE,Comma,75.00,50
KeyE,Period,90.00,50
KeyE,Slash,100.00,50
KeyR,KeyQ,76.50,50
KeyR,KeyW,67.50,50
KeyR,KeyE,49.50,50
KeyR,KeyR,50.00,50
KeyR,KeyT,58.50,50
KeyR,KeyY,58.50,50
KeyR,KeyU,45.00,50
KeyR,KeyI,49.50,50
KeyR,KeyO,75.00,50
KeyR,KeyP,85.00,50
KeyR,KeyA,80.00,50
KeyR,KeyS,65.00,50
KeyR,KeyD,47.50,50
KeyR,KeyF,45.00,50
KeyR,KeyG,57.50,50
KeyR,KeyH,57.50,50
KeyR,KeyJ,45.00,50
KeyR,KeyK,47.50,50
KeyR,KeyL,65.00,50
KeyR,Semicolon,80.00,50
KeyR,KeyZ,95.00,50
KeyR,KeyX,85.00,50
KeyR,KeyC,70.00,50
KeyR,KeyV,65.00,50
KeyR,KeyB,72.50,50
KeyR,KeyN,72.50,50
KeyR,KeyM,65.00,50
KeyR,Comma,70.00,50
KeyR,Period,85.00,50
KeyR,Slash,95.00,50
KeyT,KeyQ,90.00,50
KeyT,KeyW,81.00,50
KeyT,KeyE,63.00,50
KeyT,KeyR,58.50,50
KeyT,KeyT,80.00,50
KeyT,KeyY,72.00,50
KeyT,KeyU,58.50,50
KeyT,KeyI,63.00,50
KeyT,KeyO,81.00,50
KeyT,KeyP,100.00,50
KeyT,KeyA,95.00,50
KeyT,KeyS,80.00,50
KeyT,KeyD,62.50,50
KeyT,KeyF,60.00,50
KeyT,KeyG,72.50,50
KeyT,KeyH,72.50,50
KeyT,KeyJ,60.00,50
KeyT,KeyK,62.50,50
KeyT,KeyL,80.00,50
KeyT,Semicolon,95.00,50
KeyT,KeyZ,110.00,50
KeyT,KeyX,100.00,50
KeyT,KeyC,85.00,50
KeyT,KeyV,80.00,50
KeyT,KeyB,87.50,50
KeyT,KeyN,87.50,50
KeyT,KeyM,80.00,50
KeyT,Comma,85.00,50
KeyT,Period,100.00,50
KeyT,Slash,110.00,50
KeyY,KeyQ,100.00,50
KeyY,KeyW,81.00,50
KeyY,KeyE,63.00,50
KeyY,KeyR,58.50,50
KeyY,KeyT,72.00,50
KeyY,KeyY,80.00,50
KeyY,KeyU,58.50,50
KeyY,KeyI,63.00,50
KeyY,KeyO,81.00,50
KeyY,KeyP,90.00,50
KeyY,KeyA,95.00,50
KeyY,KeyS,80.00,50
KeyY,KeyD,62.50,50
KeyY,KeyF,60.00,50
KeyY,KeyG,72.50,50
KeyY,KeyH,72.50,50
KeyY,KeyJ,60.00,50
KeyY,KeyK,62.50,50
KeyY,KeyL,80.00,50
KeyY,Semicolon,95.00,50
KeyY,KeyZ,110.00,50
KeyY,KeyX,100.00,50
KeyY,KeyC,85.00,50
KeyY,KeyV,80.00,50
KeyY,KeyB,87.50,50
KeyY,KeyN,87.50,50
KeyY,KeyM,80.00,50
KeyY,Comma,85.00,50
KeyY,Period,100.00,50
KeyY,Slash,110.00,50
KeyU,KeyQ,85.00,50
KeyU,KeyW,75.00,50
KeyU,KeyE,49.50,50
KeyU,KeyR,45.00,50
KeyU,KeyT,58.50,50
KeyU,KeyY,58.50,50
KeyU,KeyU,50.00,50
KeyU,KeyI,49.50,50
KeyU,KeyO,67.50,50
KeyU,KeyP,76.50,50
KeyU,KeyA,72.00,50
KeyU,KeyS,65.00,50
KeyU,KeyD,47.50,50
KeyU,KeyF,45.00,50
KeyU,KeyG,57.50,50
KeyU,KeyH,57.50,50
KeyU,KeyJ,45.00,50
KeyU,KeyK,47.50,50
KeyU,KeyL,65.00,50
KeyU,Semicolon,80.00,50
KeyU,KeyZ,95.00,50
KeyU,KeyX,85.00,50
KeyU,KeyC,70.00,50
KeyU,KeyV,65.00,50
KeyU,KeyB,72.50,50
KeyU,KeyN,72.50,50
KeyU,KeyM,65.00,50
KeyU,Comma,70.00,50
KeyU,Period,85.00,50
KeyU,Slash,95.00,50
KeyI,KeyQ,90.00,50
KeyI,KeyW,80.00,50
KeyI,KeyE,60.00,50
KeyI,KeyR,49.50,50
KeyI,KeyT,63.00,50
KeyI,KeyY,63.00,50
KeyI,KeyU,49.50,50
KeyI,KeyI,60.00,50
KeyI,KeyO,72.00,50
KeyI,KeyP,81.00,50
KeyI,KeyA,76.50,50
KeyI,KeyS,63.00,50
KeyI,KeyD,52.50,50
KeyI,KeyF,50.00,50
KeyI,KeyG,62.50,50
KeyI,KeyH,62.50,50
KeyI,KeyJ,50.00,50
KeyI,KeyK,52.50,50
KeyI,KeyL,70.00,50
KeyI,Semicolon,85.00,50
KeyI,KeyZ,100.00,50
KeyI,KeyX,90.00,50
KeyI,KeyC,75.00,50
KeyI,KeyV,70.00,50
KeyI,KeyB,77.50,50
KeyI,KeyN,77.50,50
KeyI,KeyM,70.00,50
KeyI,Comma,75.00,50
KeyI,Period,90.00,50
KeyI,Slash,100.00,50
KeyO,KeyQ,110.00,50
KeyO,KeyW,100.00,50
KeyO,KeyE,80.00,50
KeyO,KeyR,75.00,50
KeyO,KeyT,81.00,50
KeyO,KeyY,81.00,50
KeyO,KeyU,67.50,50
KeyO,KeyI,72.00,50
KeyO,KeyO,100.00,50
KeyO,KeyP,99.00,50
KeyO,KeyA,94.50,50
KeyO,KeyS,81.00,50
KeyO,KeyD,65.25,50
KeyO,KeyF,70.00,50
KeyO,KeyG,82.50,50
KeyO,KeyH,82.50,50
KeyO,KeyJ,70.00,50
KeyO,KeyK,72.50,50
KeyO,KeyL,90.00,50
KeyO,Semicolon,105.00,50
KeyO,KeyZ,120.00,50
KeyO,KeyX,110.00,50
KeyO,KeyC,95.00,50
KeyO,KeyV,90.00,50
KeyO,KeyB,97.50,50
KeyO,KeyN,97.50,50
KeyO,KeyM,90.00,50
KeyO,Comma,95.00,50
KeyO,Period,110.00,50
KeyO,Slash,120.00,50
KeyP,KeyQ,120.00,50
KeyP,KeyW,110.00,50
KeyP,KeyE,90.00,50
KeyP,KeyR,85.00,50
KeyP,KeyT,100.00,50
KeyP,KeyY,90.00,50
KeyP,KeyU,76.50,50
KeyP,KeyI,81.00,50
KeyP,KeyO,99.00,50
KeyP,KeyP,120.00,50
KeyP,KeyA,103.50,50
KeyP,KeyS,90.00,50
KeyP,KeyD,74.25,50
KeyP,KeyF,72.00,50
KeyP,KeyG,92.50,50
KeyP,KeyH,92.50,50
KeyP,KeyJ,80.00,50
KeyP,KeyK,82.50,50
KeyP,KeyL,100.00,50
KeyP,Semicolon,115.00,50
KeyP,KeyZ,130.00,50
KeyP,KeyX,120.00,50
KeyP,KeyC,105.00,50
KeyP,KeyV,100.00,50
KeyP,KeyB,107.50,50
KeyP,KeyN,107.50,50
KeyP,KeyM,100.00,50
KeyP,Comma,105.00,50
KeyP,Period,120.00,50
KeyP,Slash,130.00,50
KeyA,KeyQ,115.00,50
KeyA,KeyW,105.00,50
KeyA,KeyE,85.00,50
KeyA,KeyR,80.00,50
KeyA,KeyT,95.00,50
KeyA,KeyY,95.00,50
KeyA,KeyU,72.00,50
KeyA,KeyI,76.50,50
KeyA,KeyO,94.50,50
KeyA,KeyP,103.50,50
KeyA,KeyA,110.00,50
KeyA,KeyS,85.50,50
KeyA,KeyD,69.75,50
KeyA,KeyF,67.50,50
KeyA,KeyG,78.75,50
KeyA,KeyH,87.50,50
KeyA,KeyJ,75.00,50
KeyA,KeyK,77.50,50
KeyA,KeyL,95.00,50
KeyA,Semicolon,110.00,50
KeyA,KeyZ,125.00,50
KeyA,KeyX,115.00,50
KeyA,KeyC,100.00,50
KeyA,KeyV,95.00,50
KeyA,KeyB,102.50,50
KeyA,KeyN,102.50,50
KeyA,KeyM,95.00,50
KeyA,Comma,100.00,50
KeyA,Period,115.00,50
KeyA,Slash,125.00,50
KeyS,KeyQ,100.00,50
KeyS,KeyW,90.00,50
KeyS,KeyE,70.00,50
KeyS,KeyR,65.00,50
KeyS,KeyT,80.00,50
KeyS,KeyY,80.00,50
KeyS,KeyU,65.00,50
KeyS,KeyI,63.00,50
KeyS,KeyO,81.00,50
KeyS,KeyP,90.00,50
KeyS,KeyA,85.50,50
KeyS,KeyS,80.00,50
KeyS,KeyD,56.25,50
KeyS,KeyF,54.00,50
KeyS,KeyG,65.25,50
KeyS,KeyH,65.25,50
KeyS,KeyJ,60.00,50
KeyS,KeyK,62.50,50
KeyS,KeyL,80.00,50
KeyS,Semicolon,95.00,50
KeyS,KeyZ,110.00,50
KeyS,KeyX,100.00,50
KeyS,KeyC,85.00,50
KeyS,KeyV,80.00,50
KeyS,KeyB,87.50,50
KeyS,KeyN,87.50,50
KeyS,KeyM,80.00,50
KeyS,Comma,85.00,50
KeyS,Period,100.00,50
KeyS,Slash,110.00,50
KeyD,KeyQ,82.50,50
KeyD,KeyW,72.50,50
KeyD,KeyE,52.50,50
KeyD,KeyR,47.50,50
KeyD,KeyT,62.50,50
KeyD,KeyY,62.50,50
KeyD,KeyU,47.50,50
KeyD,KeyI,52.50,50
KeyD,KeyO,65.25,50
KeyD,KeyP,74.25,50
KeyD,KeyA,69.75,50
KeyD,KeyS,56.25,50
KeyD,KeyD,45.00,50
KeyD,KeyF,38.25,50
KeyD,KeyG,49.50,50
KeyD,KeyH,49.50,50
KeyD,KeyJ,38.25,50
KeyD,KeyK,45.00,50
KeyD,KeyL,62.50,50
KeyD,Semicolon,77.50,50
KeyD,KeyZ,92.50,50
KeyD,KeyX,82.50,50
KeyD,KeyC,67.50,50
KeyD,KeyV,62.50,50
KeyD,KeyB,70.00,50
KeyD,KeyN,70.00,50
KeyD,KeyM,62.50,50
KeyD,Comma,67.50,50
KeyD,Period,82.50,50
KeyD,Slash,92.50,50
KeyF,KeyQ,80.00,50
KeyF,KeyW,70.00,50
KeyF,KeyE,50.00,50
KeyF,KeyR,45.00,50
KeyF,KeyT,60.00,50
KeyF,KeyY,60.00,50
KeyF,KeyU,45.00,50
KeyF,KeyI,50.00,50
KeyF,KeyO,70.00,50
KeyF,KeyP,72.00,50
KeyF,KeyA,67.50,50
KeyF,KeyS,54.00,50
KeyF,KeyD,38.25,50
KeyF,KeyF,40.00,50
KeyF,KeyG,47.25,50
KeyF,KeyH,47.25,50
KeyF,KeyJ,36.00,50
KeyF,KeyK,38.25,50
KeyF,KeyL,60.00,50
KeyF,Semicolon,75.00,50
KeyF,KeyZ,90.00,50
KeyF,KeyX,80.00,50
KeyF,KeyC,65.00,50
KeyF,KeyV,60.00,50
KeyF,KeyB,67.50,50
KeyF,KeyN,67.50,50
KeyF,KeyM,60.00,50
KeyF,Comma,65.00,50
KeyF,Period,80.00,50
KeyF,Slash,90.00,50
KeyG,KeyQ,92.50,50
KeyG,KeyW,82.50,50
KeyG,KeyE,62.50,50
KeyG,KeyR,57.50,50
KeyG,KeyT,72.50,50
KeyG,KeyY,72.50,50
KeyG,KeyU,57.50,50
KeyG,KeyI,62.50,50
KeyG,KeyO,82.50,50
KeyG,KeyP,92.50,50
KeyG,KeyA,78.75,50
KeyG,KeyS,65.25,50
KeyG,KeyD,49.50,50
KeyG,KeyF,47.25,50
KeyG,KeyG,65.00,50
KeyG,KeyH,58.50,50
KeyG,KeyJ,47.25,50
KeyG,KeyK,49.50,50
KeyG,KeyL,65.25,50
KeyG,Semicolon,87.50,50
KeyG,KeyZ,102.50,50
KeyG,KeyX,92.50,50
KeyG,KeyC,77.50,50
KeyG,KeyV,72.50,50
KeyG,KeyB,80.00,50
KeyG,KeyN,80.00,50
KeyG,KeyM,72.50,50
KeyG,Comma,77.50,50
KeyG,Period,92.50,50
KeyG,Slash,102.50,50
KeyH,KeyQ,92.50,50
KeyH,KeyW,82.50,50
KeyH,KeyE,62.50,50
KeyH,KeyR,57.50,50
KeyH,KeyT,72.50,50
KeyH,KeyY,72.50,50
KeyH,KeyU,57.50,50
KeyH,KeyI,62.50,50
KeyH,KeyO,82.50,50
KeyH,KeyP,92.50,50
KeyH,KeyA,87.50,50
KeyH,KeyS,65.25,50
KeyH,KeyD,49.50,50
KeyH,KeyF,47.25,50
KeyH,KeyG,58.50,50
KeyH,KeyH,65.00,50
KeyH,KeyJ,47.25,50
KeyH,KeyK,49.50,50
KeyH,KeyL,65.25,50
KeyH,Semicolon,78.75,50
KeyH,KeyZ,102.50,50
KeyH,KeyX,92.50,50
KeyH,KeyC,77.50,50
KeyH,KeyV,72.50,50
KeyH,KeyB,80.00,50
KeyH,KeyN,80.00,50
KeyH,KeyM,72.50,50
KeyH,Comma,77.50,50
KeyH,Period,92.50,50
KeyH,Slash,102.50,50
KeyJ,KeyQ,80.00,50
KeyJ,KeyW,70.00,50
KeyJ,KeyE,50.00,50
KeyJ,KeyR,45.00,50
KeyJ,KeyT,60.00,50
KeyJ,KeyY,60.00,50
KeyJ,KeyU,45.00,50
KeyJ,KeyI,50.00,50
KeyJ,KeyO,70.00,50
KeyJ,KeyP,80.00,50
KeyJ,KeyA,75.00,50
KeyJ,KeyS,60.00,50
KeyJ,KeyD,38.25,50
KeyJ,KeyF,36.00,50
KeyJ,KeyG,47.25,50
KeyJ,KeyH,47.25,50
KeyJ,KeyJ,40.00,50
KeyJ,KeyK,38.25,50
KeyJ,KeyL,54.00,50
KeyJ,Semicolon,67.50,50
KeyJ,KeyZ,81.00,50
KeyJ,KeyX,80.00,50
KeyJ,KeyC,65.00,50
KeyJ,KeyV,60.00,50
KeyJ,KeyB,67.50,50
KeyJ,KeyN,67.50,50
KeyJ,KeyM,60.00,50
KeyJ,Comma,65.00,50
KeyJ,Period,80.00,50
KeyJ,Slash,90.00,50
KeyK,KeyQ,82.50,50
KeyK,KeyW,72.50,50
KeyK,KeyE,52.50,50
KeyK,KeyR,47.50,50
KeyK,KeyT,62.50,50
KeyK,KeyY,62.50,50
KeyK,KeyU,47.50,50
KeyK,KeyI,52.50,50
KeyK,KeyO,72.50,50
KeyK,KeyP,82.50,50
KeyK,KeyA,77.50,50
KeyK,KeyS,62.50,50
KeyK,KeyD,45.00,50
KeyK,KeyF,38.25,50
KeyK,KeyG,49.50,50
KeyK,KeyH,49.50,50
KeyK,KeyJ,38.25,50
KeyK,KeyK,45.00,50
KeyK,KeyL,56.25,50
KeyK,Semicolon,69.75,50
KeyK,KeyZ,83.25,50
KeyK,KeyX,74.25,50
KeyK,KeyC,67.50,50
KeyK,KeyV,62.50,50
KeyK,KeyB,70.00,50
KeyK,KeyN,70.00,50
KeyK,KeyM,62.50,50
KeyK,Comma,67.50,50
KeyK,Period,82.50,50
KeyK,Slash,92.50,50
KeyL,KeyQ,100.00,50
KeyL,KeyW,90.00,50
KeyL,KeyE,70.00,50
KeyL,KeyR,65.00,50
KeyL,KeyT,80.00,50
KeyL,KeyY,80.00,50
KeyL,KeyU,65.00,50
KeyL,KeyI,70.00,50
KeyL,KeyO,90.00,50
KeyL,KeyP,100.00,50
KeyL,KeyA,95.00,50
KeyL,KeyS,80.00,50
KeyL,KeyD,62.50,50
KeyL,KeyF,60.00,50
KeyL,KeyG,65.25,50
KeyL,KeyH,65.25,50
KeyL,KeyJ,54.00,50
KeyL,KeyK,56.25,50
KeyL,KeyL,80.00,50
KeyL,Semicolon,85.50,50
KeyL,KeyZ,99.00,50
KeyL,KeyX,90.00,50
KeyL,KeyC,76.50,50
KeyL,KeyV,80.00,50
KeyL,KeyB,87.50,50
KeyL,KeyN,87.50,50
KeyL,KeyM,80.00,50
KeyL,Comma,85.00,50
KeyL,Period,100.00,50
KeyL,Slash,110.00,50
Semicolon,KeyQ,115.00,50
Semicolon,KeyW,105.00,50
Semicolon,KeyE,85.00,50
Semicolon,KeyR,80.00,50
Semicolon,KeyT,95.00,50
Semicolon,KeyY,95.00,50
Semicolon,KeyU,80.00,50
Semicolon,KeyI,85.00,50
Semicolon,KeyO,105.00,50
Semicolon,KeyP,115.00,50
Semicolon,KeyA,110.00,50
Semicolon,KeyS,95.00,50
Semicolon,KeyD,77.50,50
Semicolon,KeyF,75.00,50
Semicolon,KeyG,87.50,50
Semicolon,KeyH,78.75,50
Semicolon,KeyJ,67.50,50
Semicolon,KeyK,69.75,50
Semicolon,KeyL,85.50,50
Semicolon,Semicolon,110.00,50
Semicolon,KeyZ,112.50,50
Semicolon,KeyX,103.50,50
Semicolon,KeyC,90.00,50
Semicolon,KeyV,85.50,50
Semicolon,KeyB,102.50,50
Semicolon,KeyN,102.50,50
Semicolon,KeyM,95.00,50
Semicolon,Comma,100.00,50
Semicolon,Period,115.00,50
Semicolon,Slash,125.00,50
KeyZ,KeyQ,130.00,50
KeyZ,KeyW,120.00,50
KeyZ,KeyE,100.00,50
KeyZ,KeyR,95.00,50
KeyZ,KeyT,110.00,50
KeyZ,KeyY,110.00,50
KeyZ,KeyU,95.00,50
KeyZ,KeyI,100.00,50
KeyZ,KeyO,120.00,50
KeyZ,KeyP,130.00,50
KeyZ,KeyA,125.00,50
KeyZ,KeyS,110.00,50
KeyZ,KeyD,92.50,50
KeyZ,KeyF,90.00,50
KeyZ,KeyG,102.50,50
KeyZ,KeyH,102.50,50
KeyZ,KeyJ,81.00,50
KeyZ,KeyK,83.25,50
KeyZ,KeyL,99.00,50
KeyZ,Semicolon,112.50,50
KeyZ,KeyZ,140.00,50
KeyZ,KeyX,117.00,50
KeyZ,KeyC,103.50,50
KeyZ,KeyV,99.00,50
KeyZ,KeyB,105.75,50
KeyZ,KeyN,117.50,50
KeyZ,KeyM,110.00,50
KeyZ,Comma,115.00,50
KeyZ,Period,130.00,50
KeyZ,Slash,140.00,50
KeyX,KeyQ,120.00,50
KeyX,KeyW,110.00,50
KeyX,KeyE,90.00,50
KeyX,KeyR,85.00,50
KeyX,KeyT,100.00,50
KeyX,KeyY,100.00,50
KeyX,KeyU,85.00,50
KeyX,KeyI,90.00,50
KeyX,KeyO,110.00,50
KeyX,KeyP,120.00,50
KeyX,KeyA,115.00,50
KeyX,KeyS,100.00,50
KeyX,KeyD,82.50,50
KeyX,KeyF,80.00,50
KeyX,KeyG,92.50,50
KeyX,KeyH,92.50,50
KeyX,KeyJ,80.00,50
KeyX,KeyK,74.25,50
KeyX,KeyL,90.00,50
KeyX,Semicolon,103.50,50
KeyX,KeyZ,117.00,50
KeyX,KeyX,120.00,50
KeyX,KeyC,94.50,50
KeyX,KeyV,90.00,50
KeyX,KeyB,96.75,50
KeyX,KeyN,96.75,50
KeyX,KeyM,100.00,50
KeyX,Comma,105.00,50
KeyX,Period,120.00,50
KeyX,Slash,130.00,50
KeyC,KeyQ,105.00,50
KeyC,KeyW,95.00,50
KeyC,KeyE,75.00,50
KeyC,KeyR,70.00,50
KeyC,KeyT,85.00,50
KeyC,KeyY,85.00,50
KeyC,KeyU,70.00,50
KeyC,KeyI,75.00,50
KeyC,KeyO,95.00,50
KeyC,KeyP,105.00,50
KeyC,KeyA,100.00,50
KeyC,KeyS,85.00,50
KeyC,KeyD,67.50,50
KeyC,KeyF,65.00,50
KeyC,KeyG,77.50,50
KeyC,KeyH,77.50,50
KeyC,KeyJ,65.00,50
KeyC,KeyK,67.50,50
KeyC,KeyL,76.50,50
KeyC,Semicolon,90.00,50
KeyC,KeyZ,103.50,50
KeyC,KeyX,94.50,50
KeyC,KeyC,90.00,50
KeyC,KeyV,76.50,50
KeyC,KeyB,83.25,50
KeyC,KeyN,83.25,50
KeyC,KeyM,76.50,50
KeyC,Comma,90.00,50
KeyC,Period,105.00,50
KeyC,Slash,115.00,50
KeyV,KeyQ,100.00,50
KeyV,KeyW,90.00,50
KeyV,KeyE,70.00,50
KeyV,KeyR,65.00,50
KeyV,KeyT,80.00,50
KeyV,KeyY,80.00,50
KeyV,KeyU,65.00,50
KeyV,KeyI,70.00,50
KeyV,KeyO,90.00,50
KeyV,KeyP,100.00,50
KeyV,KeyA,95.00,50
KeyV,KeyS,80.00,50
KeyV,KeyD,62.50,50
KeyV,KeyF,60.00,50
KeyV,KeyG,72.50,50
KeyV,KeyH,72.50,50
KeyV,KeyJ,60.00,50
KeyV,KeyK,62.50,50
KeyV,KeyL,80.00,50
KeyV,Semicolon,85.50,50
KeyV,KeyZ,99.00,50
KeyV,KeyX,90.00,50
KeyV,KeyC,76.50,50
KeyV,KeyV,80.00,50
KeyV,KeyB,78.75,50
KeyV,KeyN,78.75,50
KeyV,KeyM,72.00,50
KeyV,Comma,76.50,50
KeyV,Period,100.00,50
KeyV,Slash,110.00,50
KeyB,KeyQ,107.50,50
KeyB,KeyW,97.50,50
KeyB,KeyE,77.50,50
KeyB,KeyR,72.50,50
KeyB,KeyT,87.50,50
KeyB,KeyY,87.50,50
KeyB,KeyU,72.50,50
KeyB,KeyI,77.50,50
KeyB,KeyO,97.50,50
KeyB,KeyP,107.50,50
KeyB,KeyA,102.50,50
KeyB,KeyS,87.50,50
KeyB,KeyD,70.00,50
KeyB,KeyF,67.50,50
KeyB,KeyG,80.00,50
KeyB,KeyH,80.00,50
KeyB,KeyJ,67.50,50
KeyB,KeyK,70.00,50
KeyB,KeyL,87.50,50
KeyB,Semicolon,102.50,50
KeyB,KeyZ,105.75,50
KeyB,KeyX,96.75,50
KeyB,KeyC,83.25,50
KeyB,KeyV,78.75,50
KeyB,KeyB,95.00,50
KeyB,KeyN,85.50,50
KeyB,KeyM,78.75,50
KeyB,Comma,83.25,50
KeyB,Period,96.75,50
KeyB,Slash,117.50,50
KeyN,KeyQ,107.50,50
KeyN,KeyW,97.50,50
KeyN,KeyE,77.50,50
KeyN,KeyR,72.50,50
KeyN,KeyT,87.50,50
KeyN,KeyY,87.50,50
KeyN,KeyU,72.50,50
KeyN,KeyI,77.50,50
KeyN,KeyO,97.50,50
KeyN,KeyP,107.50,50
KeyN,KeyA,102.50,50
KeyN,KeyS,87.50,50
KeyN,KeyD,70.00,50
KeyN,KeyF,67.50,50
KeyN,KeyG,80.00,50
KeyN,KeyH,80.00,50
KeyN,KeyJ,67.50,50
KeyN,KeyK,70.00,50
KeyN,KeyL,87.50,50
KeyN,Semicolon,102.50,50
KeyN,KeyZ,117.50,50
KeyN,KeyX,96.75,50
KeyN,KeyC,83.25,50
KeyN,KeyV,78.75,50
KeyN,KeyB,85.50,50
KeyN,KeyN,95.00,50
KeyN,KeyM,78.75,50
KeyN,Comma,83.25,50
KeyN,Period,96.75,50
KeyN,Slash,105.75,50
KeyM,KeyQ,100.00,50
KeyM,KeyW,90.00,50
KeyM,KeyE,70.00,50
KeyM,KeyR,65.00,50
KeyM,KeyT,80.00,50
KeyM,KeyY,80.00,50
KeyM,KeyU,65.00,50
KeyM,KeyI,70.00,50
KeyM,KeyO,90.00,50
KeyM,KeyP,100.00,50
KeyM,KeyA,95.00,50
KeyM,KeyS,80.00,50
KeyM,KeyD,62.50,50
KeyM,KeyF,60.00,50
KeyM,KeyG,72.50,50
KeyM,KeyH,72.50,50
KeyM,KeyJ,60.00,50
KeyM,KeyK,62.50,50
KeyM,KeyL,80.00,50
KeyM,Semicolon,95.00,50
KeyM,KeyZ,110.00,50
KeyM,KeyX,100.00,50
KeyM,KeyC,76.50,50
KeyM,KeyV,72.00,50
KeyM,KeyB,78.75,50
KeyM,KeyN,78.75,50
KeyM,KeyM,80.00,50
KeyM,Comma,76.50,50
KeyM,Period,90.00,50
KeyM,Slash,99.00,50
Comma,KeyQ,105.00,50
Comma,KeyW,95.00,50
Comma,KeyE,75.00,50
Comma,KeyR,70.00,50
Comma,KeyT,85.00,50
Comma,KeyY,85.00,50
Comma,KeyU,70.00,50
Comma,KeyI,75.00,50
Comma,KeyO,95.00,50
Comma,KeyP,105.00,50
Comma,KeyA,100.00,50
Comma,KeyS,85.00,50
Comma,KeyD,67.50,50
Comma,KeyF,65.00,50
Comma,KeyG,77.50,50
Comma,KeyH,77.50,50
Comma,KeyJ,65.00,50
Comma,KeyK,67.50,50
Comma,KeyL,85.00,50
Comma,Semicolon,100.00,50
Comma,KeyZ,115.00,50
Comma,KeyX,105.00,50
Comma,KeyC,90.00,50
Comma,KeyV,76.50,50
Comma,KeyB,83.25,50
Comma,KeyN,83.25,50
Comma,KeyM,76.50,50
Comma,Comma,90.00,50
Comma,Period,94.50,50
Comma,Slash,103.50,50
Period,KeyQ,120.00,50
Period,KeyW,110.00,50
Period,KeyE,90.00,50
Period,KeyR,85.00,50
Period,KeyT,100.00,50
Period,KeyY,100.00,50
Period,KeyU,85.00,50
Period,KeyI,90.00,50
Period,KeyO,110.00,50
Period,KeyP,120.00,50
Period,KeyA,115.00,50
Period,KeyS,100.00,50
Period,KeyD,82.50,50
Period,KeyF,80.00,50
Period,KeyG,92.50,50
Period,KeyH,92.50,50
Period,KeyJ,80.00,50
Period,KeyK,82.50,50
Period,KeyL,100.00,50
Period,Semicolon,115.00,50
Period,KeyZ,130.00,50
Period,KeyX,120.00,50
Period,KeyC,105.00,50
Period,KeyV,100.00,50
Period,KeyB,96.75,50
Period,KeyN,96.75,50
Period,KeyM,90.00,50
Period,Comma,94.50,50
Period,Period,120.00,50
